Burnout,7.75,1.17	
Bushido Blade 2,7.0,0.68	
Bushido Blade,8.7,1.16	
Bust A Groove 2,6.8,0.26	
Bust A Groove,9.0,0.54	
Bust-A-Move '99,8.2,0.38	
Bust-A-Move 2 Arcade Edition,8.0,0.28	
Bust-A-Move 4,7.425,0.22	
Bust-A-Move Bash!,5.3,0.16	
Bust-A-Move DS,7.5,0.11	
Bust-A-Move Deluxe,7.8,0.14	
Bust-A-Move Universe,6.0,0.31	
Bust-A-Move,7.1,0.02	
Buster Bros. Collection,6.0,0.07	
Buzz Lightyear of Star Command,5.5,0.63	
Buzz! Junior: Jungle Party,4.65,0.41	
Buzz! Master Quiz,7.8,0.87	
Buzz! Quiz TV,8.9,0.9	
Buzz! Quiz World,7.45,0.93	
Buzz! The Mega Quiz,8.0,0.88	
C.O.P.: The Recruit,5.0,0.08	
C: The Contra Adventure,1.0,0.07	
CMT Presents: Karaoke Revolution Country,7.2,0.06	
CSI: Crime Scene Investigation,7.0,0.12	
CT Special Forces 2: Back in the Trenches,7.0,0.01	
CT Special Forces,6.0,0.03	
Cabela's African Safari,6.725,0.19	
Cabela's Big Game Hunter 2010,4.86666666667,2.37	
Cabela's Big Game Hunter,6.0,1.51	
Cabela's Dangerous Hunts 2,6.26666666667,0.53	
Cabela's Dangerous Hunts 2009,5.06666666667,0.82	
Cabela's Dangerous Hunts,6.8,1.52	
Cabela's Dangerous Hunts: Ultimate Challenge,5.5,0.06	
Cabela's Deer Hunt: 2004 Season,7.4,0.97	
Cabela's Outdoor Adventures,7.0,0.13	
Cabela's Trophy Bucks,5.33333333333,0.38	
Caesar III,8.7,0.04	
Caesar IV,7.7,0.04	
Caesars Palace 2000: Millennium Gold Edition,5.0,0.77	
Caesars Palace II,8.0,0.25	
Cake Mania 2: Jill's Next Adventure!,5.0,0.27	
Cake Mania 3,7.3,0.14	
Cake Mania,7.25,0.11	
Cake Mania: Baker's Challenge,7.0,0.06	
California Speed,4.2,0.16	
Call of Cthulhu: Dark Corners of the Earth,8.0,0.06	
Call of Duty 2,8.5,2.08	
Call of Duty 3,8.1,5.3	
Call of Duty 4: Modern Warfare,9.0,18.25	
Call of Duty: Advanced Warfare,9.1,21.9	
Call of Duty: Black Ops II,9.3,29.72	
